,t,q_d,dq_d,i_d,q,dq,i
1538,7.685935685000004,4.417193671654025,0,21.940445768123514,3.6336111111111107,-3.5261550406735926,15
1539,7.690944540998316,4.401568061401516,0,7.679569502904053,3.6336111111111107,0.0,15
1540,7.695976155999233,4.385877420158789,0,7.522663090476787,3.6336111111111107,0.0,10
1541,7.700971160997142,4.370307014764572,0,21.723718807655118,3.615972222222222,-3.545092720557905,27
1542,7.705931573000271,4.354850580256907,0,7.388783580346852,3.615972222222222,0.0,5
1543,7.710929133998434,4.339284728938389,0,21.347424228451604,3.598333333333333,-3.484477568100262,17
1544,7.715978674998041,4.323563593213499,0,7.2523025988016565,3.598333333333333,0.0,14
1545,7.72097121600018,4.308026613755065,0,21.45073774094942,3.580694444444444,-3.544354011960803,20
1546,7.725924924998253,4.292617210494348,0,21.40504299324108,3.563055555555555,-3.5273566109632877,22
1547,7.730922095997812,4.277079554657542,0,21.316147027673804,3.545416666666666,-3.499879536941262,20
1548,7.7359552859998075,4.261437109754779,0,7.160204430881132,3.545416666666666,0.0,10
1549,7.74096351299886,4.245879577640202,0,21.366880086318496,3.5277777777777777,-3.546465521923563,20
1550,7.745914628998435,4.23050679441474,0,7.027290166369626,3.5277777777777777,0.0,13
1551,7.75091259599867,4.21499609624126,0,21.049634836037146,3.5101388888888887,-3.500265690628359,12
1552,7.757335215999774,4.195075515017489,0,21.131054879935242,3.4924999999999997,-3.5263249324400863,26
1553,7.760961623996991,4.1838335139291125,0,21.134291969594443,3.4748611111111107,-3.5111419853536066,18
1554,7.767312576997938,4.164155564653168,0,21.317635745850872,3.4572222222222218,-3.562075580385353,2
1555,7.770911447998515,4.153010621924086,0,21.256670613211433,3.439583333333333,-3.5305994318259777,6
1556,7.775921748998371,4.1375020028664755,0,6.979186695331423,3.439583333333333,0.0,28
1557,7.780906345997209,4.122081428298571,0,6.824980949652382,3.439583333333333,0.0,8
1558,7.787345744000049,4.102172985507523,0,20.800364833430272,3.4219444444444442,-3.499519855699871,15
1559,7.790953650997835,4.091024959604351,0,20.967532496348287,3.4043055555555553,-3.5250846139650833,10
1560,7.797402455998963,4.0711105529185785,0,6.668049973630232,3.4043055555555553,0.0,17
1561,7.800905178999528,4.06030024486614,0,20.961074093596515,3.3866666666666663,-3.5561845779004453,17
1562,7.8059041279993835,4.0448800929471265,0,20.866431769030235,3.3690277777777777,-3.5269771543341872,17
1563,7.810893280999153,4.029499553448929,0,6.604717756711511,3.3690277777777777,0.0,19
1564,7.817317400997126,4.009709371045937,0,20.661142671937533,3.3513888888888888,-3.519484462591763,10
1565,7.820935511997959,3.998570478430389,0,20.742284609700228,3.3337499999999998,-3.5235199563490833,15
1566,7.8272998920001555,3.9789893824463363,0,20.818607622157753,3.316111111111111,-3.5474562272013745,14
1567,7.830887354997685,3.9679591185155196,0,6.5184800740440885,3.316111111111111,0.0,17
1568,7.835889063997456,3.9525892792553217,0,20.70135521061861,3.2984722222222222,-3.5400461600719035,18
1569,7.8408866789977765,3.9372423523679254,0,6.387701301457032,3.2984722222222222,0.0,6
1570,7.847327909999876,3.917477775138023,0,20.383370195636367,3.2808333333333333,-3.5042314443973672,20
1571,7.850937465998868,3.9064097745206583,0,20.455425438708595,3.2631944444444443,-3.5058180344866137,12
1572,7.857394140999531,3.886625705267433,0,6.234312608229886,3.2631944444444443,0.0,10
1573,7.860884456997155,3.875938544662219,0,6.127441002177747,3.2631944444444443,0.0,8
1574,7.867330261997267,3.856216083817303,0,20.12456146702791,3.2455555555555553,-3.504489046102608,18
